Sports,States,Cat_Dog,Pets,Gender,Browser,Shoes,Height,MO_Height,FA_Height,Arrival,Sleep,Number,Hand,Credit
MLB,23,Dog,1,Female,Safari,8,62,62,70,7,9.5,3,Right,9
NFL,20,Dog,1,Female,Chrome,10,62,64,67,150,9,7,Right,16
NHL,3,Dog,1,Male,Chrome,4,70,64,66,10,8,7,Right,17
Other,9,Cat,0,Male,Safari,7,72,64,69,25,7.5,4,Right,4
NBA,11,Dog,0,Female,Safari,25,66,66,70,11,5.5,1,Right,16
NHL,20,Cat,2,Female,Chrome,30,70,65,76,10,7,7,Right,16
NBA,15,Dog,1,Female,Chrome,8,64,62,69,15,8,4,Right,16
NFL,13,Dog,1,Male,Chrome,9,69,65,70,8,4,2,Right,16
NBA,20,Dog,2,Female,Chrome,17,64,64,70,,8,4,Right,16
MLB,15,Dog,0,Female,Safari,11,67,65,74,4,8,3,Right,16
NHL,10,Dog,1,Female,Chrome,30,61,64,69,20,8.5,7,Right,16
Other,15,Dog,1,Female,Chrome,NA,64,66,74,15,6.5,6,Right,18
NBA,12,Other,0,Male,Chrome,6,73,64,68,5,5,4,Right,16
Other,6,Cat,0,Female,Chrome,10,66,64,67,10,5,8,Right,15
NBA,16,Dog,0,Female,Chrome,12,63,61,68,15,7.5,8,Right,17
MLB,17,Cat,1,Female,Edge,12,67,67,72,10,8.5,4,Right,18
NBA,20,Dog,1,Female,Chrome,10,65,69,74,10,7,4,Right,17
NFL,9,Dog,0,Female,Chrome,8,64,67,70,15,7.5,7,Right,15
MLB,15,Dog,0,Male,Chrome,6,75,67,72,NA,6,7,Right,14
NFL,17,Dog,1,Female,Chrome,10,61,59,74,7,8,8,Right,15
NBA,12,Dog,2,Female,Chrome,8,66,66,74,10,6.5,2,Right,16
Other,7,Dog,4,Female,Chrome,,61,NA,NA,NA,8,10,Right,17
MLB,12,Dog,1,Female,Safari,4,NA,NA,NA,7,5.5,6,Right,16
Other,9,Dog,4,Female,Safari,12,NA,NA,NA,15,6,3,Right,16
Other,14,Dog,1,Male,Firefox,3,70,65,71,5,8,3,Ambidextrous,18
NFL,15,Dog,1,Female,Chrome,10,66,65,76,17,7.5,6,Right,16
NFL,6,Cat,1,Female,Chrome,20,62,67,71,15,8.5,6,Right,15
NFL,18,Dog,2,Male,Safari,6,66,60,64,15,6,7,Right,16
NHL,17,Cat,3,NA,Chrome,8,64,65,73,6,5.5,4,Left,17
Other,15,Dog,0,Male,Chrome,6,65,60,69,10,8,7,Right,17
NFL,5,Dog,2,Male,Safari,11,68,67,70,10,7,7,Right,16
Other,10,Other,1,Female,Chrome,11,65,62,70,10,6.5,4,Left,15
MLB,16,Dog,0,Female,Chrome,13,65,65,71,12,8,9,Right,15
NBA,27,Dog,2,Female,Chrome,10,66,66,70,10,6.5,7,Right,16
MLB,13,Dog,1,Female,Chrome,6,65,64,64,NA,7.5,7,Right,15
NBA,15,Dog,2,Female,Safari,5,NA,NA,NA,15,6,5,Right,15
NBA,30,Cat,1,Male,Chrome,12,70,62,68,10,6,2,Left,15
Other,5,Cat,3,Female,Chrome,6,60,62,67,5,8.5,4,Right,18
NHL,15,Dog,1,Female,Safari,10,63,64,69,5,7,9,Right,16
MLB,14,Dog,2,Female,Safari,5,70,66,73,5,7,4,Right,16
NFL,13,Dog,1,Male,Chrome,5,74,68,60,10,8,1,Right,12
Other,,Dog,2,Female,Safari,23,63,60,70,20,9,2,Left,16
NFL,30,Dog,6,Female,Safari,15,64,61,68,9,6,8,Right,16
NBA,18,Dog,3,Female,Safari,20,68,65,62,10,8,3,Right,14
NFL,23,Dog,1,Female,Chrome,8,68,66,71,7,8,2,Right,12
Other,8,Dog,1,Female,Safari,10,64,61,68,6,6,2,Right,16
NFL,18,Dog,1,Female,Chrome,8,61,64,69,10,6.5,8,Right,17
Other,20,Cat,0,Male,Firefox,5,70,65,69,30,10,3,Right,13
MLB,18,Dog,1,Female,Safari,20,62,62,70,10,7,5,Right,15
NFL,15,Cat,1,Female,Chrome,10,67,63,71,10,10,6,Right,17
NFL,14,Dog,1,Female,Safari,8,64,65,71,7,10,3,Right,15
Other,16,Cat,0,Female,Chrome,7,61,59,65,9,6,3,Left,15
NBA,24,Dog,0,NA,Safari,13,70,69,67,10,7,3,Right,17
MLB,13,Dog,2,Female,Chrome,8,64,62,68,16,9,6,Right,16
Other,28,Cat,8,Female,Chrome,5,65,63,67,NA,8.5,8,Right,
NBA,3,Cat,1,Female,Safari,6,NA,NA,NA,10,NA,1,Left,16
Other,13,Cat,2,Female,Safari,15,NA,NA,NA,9,7,7,Right,14
Other,19,Dog,1,Female,Safari,6,69,68,71,8,8,8,Right,16
NBA,18,Dog,0,Female,Chrome,17,65,68,71,7,7.5,7,Left,15
Other,7,Cat,0,Female,Chrome,4,66,65,73,20,7.5,4,Right,15
NHL,36,Dog,3,Male,Chrome,9,71,61,65,4,6.5,5,Right,18
NBA,3,Cat,2,Male,Chrome,10,72,67,67,30,8,9,Right,9
NFL,10,Dog,0,Male,Chrome,3,69,62,68,15,8,3,Right,13
NFL,26,Dog,1,Female,Chrome,25,70,68,76,5,9,8,Right,16
Other,12,Dog,1,NA,Chrome,15,64,64,70,10,5,8,Right,13
Other,8,Dog,4,Female,Chrome,4,67,NA,NA,15,6,8,Right,14
MLB,18,Cat,0,Female,Chrome,,63,67,70,5,7.5,7,Right,17
NFL,10,Dog,1,Female,Chrome,13,66,66,72,10,8,2,Right,16
NBA,6,Dog,2,Male,Other,5,71,64,64,15,7,7,Right,14
NBA,18,Dog,1,Female,Chrome,5,64,62,71,15,8,8,Right,15
Other,18,Dog,3,Female,Safari,6,63,67,70,10,9,6,Right,18
NBA,20,Dog,1,Male,Chrome,8,70,64,72,9,6,10,Left,15
